city,city_code,config,status,mae,mse,rmse,r2,smape,n_predictions,n_windows,pred_path,metrics_path,error
Aracaju,2800308,config_1_tweedie_high_horizon,success,0.18890316406864327,0.07169951473272956,0.2677676506464692,0.5098454162690137,74.15004757522674,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\predictions\2800308_Aracaju.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\metrics\2800308_Aracaju.json,
Aracaju,2800308,config_2_mae_moderate_horizon,success,0.21917042496397682,0.09830394672279033,0.31353460211400963,0.3279713221960323,86.0607837668207,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\predictions\2800308_Aracaju.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\metrics\2800308_Aracaju.json,
Aracaju,2800308,config_3_mae_simple_horizon,success,0.2602188394240083,0.12287296191982518,0.3505323978176984,0.16001181143123167,75.68593724787935,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\predictions\2800308_Aracaju.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\metrics\2800308_Aracaju.json,
Belém,1501402,config_1_tweedie_high_horizon,success,0.018434068728668103,0.00047200688159315066,0.0217257193573228,-0.02526486788723692,65.60810133457686,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\predictions\1501402_Belém.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\metrics\1501402_Belém.json,
Belém,1501402,config_2_mae_moderate_horizon,success,0.01608538885394532,0.00040818094052788654,0.02020348832572946,0.11337399011666338,61.037974322944855,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\predictions\1501402_Belém.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\metrics\1501402_Belém.json,
Belém,1501402,config_3_mae_simple_horizon,success,0.020620793015947516,0.0006001466589550967,0.024497890908302632,-0.3036023604777307,71.90802464215598,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\predictions\1501402_Belém.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\metrics\1501402_Belém.json,
Belo Horizonte,3106200,config_1_tweedie_high_horizon,success,0.061897733339779215,0.009225214081726376,0.09604797801997904,-2.7246879792697554,78.27376233083523,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\predictions\3106200_Belo_Horizonte.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\metrics\3106200_Belo_Horizonte.json,
Belo Horizonte,3106200,config_2_mae_moderate_horizon,success,0.0328148257471801,0.0030677240372712,0.0553870385313315,-0.23859617176522363,63.96526920613795,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\predictions\3106200_Belo_Horizonte.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\metrics\3106200_Belo_Horizonte.json,
Belo Horizonte,3106200,config_3_mae_simple_horizon,success,0.18491393457925873,0.0808882128750706,0.2844085316495808,-31.658684285406565,144.42743111573512,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\predictions\3106200_Belo_Horizonte.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\metrics\3106200_Belo_Horizonte.json,
Boa Vista,1400100,config_1_tweedie_high_horizon,success,0.2340186673521185,0.10666984166837666,0.32660349304374664,0.02888929028063858,108.59685680047157,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\predictions\1400100_Boa_Vista.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\metrics\1400100_Boa_Vista.json,
Boa Vista,1400100,config_2_mae_moderate_horizon,success,0.20609385024553956,0.10830088554400652,0.32909099888025883,0.01404044311940833,100.24501461044363,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\predictions\1400100_Boa_Vista.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\metrics\1400100_Boa_Vista.json,
Boa Vista,1400100,config_3_mae_simple_horizon,success,0.20874258732077441,0.09869103064901759,0.3141512862444106,0.1015275234545,98.51555077118638,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\predictions\1400100_Boa_Vista.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\metrics\1400100_Boa_Vista.json,
Brasília,5300108,config_1_tweedie_high_horizon,success,0.7579101416546331,1.0718975858725484,1.0353248697257051,-0.692260285925828,92.78993822787642,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\predictions\5300108_Brasília.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_1_tweedie_high_horizon\metrics\5300108_Brasília.json,
Brasília,5300108,config_2_mae_moderate_horizon,success,0.6826422435600539,0.9421974984101582,0.9706685831993113,-0.48749603420392296,92.08060610686208,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\predictions\5300108_Brasília.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_2_mae_moderate_horizon\metrics\5300108_Brasília.json,
Brasília,5300108,config_3_mae_simple_horizon,success,0.4160141314583692,0.331813996237187,0.5760329819005046,0.4761480429219853,61.1629612912441,52.0,13.0,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\predictions\5300108_Brasília.csv,C:\Users\pedro\OneDrive - Unesp\Documentos\GitHub\dengue4\artifacts\batch_capital_cities\20251013_144325\config_3_mae_simple_horizon\metrics\5300108_Brasília.json,
